EmpID	Name Prefix	First Name	Middle Initial	Last Name	Gender	E Mail	Father's Name	Mother's Name	Mother's Maiden Name	Date of Birth																
138911	Mr.	Claudio	L	Heck	M	claudio.heck@aol.com	Fausto Heck	Meta Heck	Fonseca	9/28/1967																
160938	Prof.	Marcel	X	Trotter	M	marcel.trotter@aol.com	Stefan Trotter	Claude Trotter	Bower	2/1/1985																
399707	Prof.	Dillon	Y	Dominguez	M	dillon.dominguez@gmail.com	Wilton Dominguez	Alease Dominguez	Packer	10/22/1963																
713294	Mr.	Sammy	Y	Dewitt	M	sammy.dewitt@ibm.com	Issac Dewitt	Laurene Dewitt	Moniz	1/24/1988																
627298	Mr.	Sterling	A	Serna	M	sterling.serna@hotmail.com	Emery Serna	Stephine Serna	Pulido	4/15/1985																
709884	Mrs.	Ivonne	K	Manning	F	ivonne.manning@yahoo.ca	Wilbert Manning	Treva Manning	Earl	9/13/1977																
932773	Hon.	Clair	E	Harwell	M	clair.harwell@bp.com	Jerrod Harwell	Tracie Harwell	Lafferty	8/11/1968																
796605	Ms.	Jenni	A	Goolsby	F	jenni.goolsby@gmail.com	Titus Goolsby	Song Goolsby	Edge	5/13/1971																
885395	Hon.	Tayna	K	Poston	F	tayna.poston@yahoo.ca	Nelson Poston	Vivien Poston	Dolan	1/15/1958																
411503	Prof.	Vern	F	Mackenzie	M	vern.mackenzie@gmail.com	Jame Mackenzie	Claudette Mackenzie	Nicholas	7/3/1982																
622405	Mr.	Harrison	X	Hawk	M	harrison.hawk@hotmail.co.uk	Vincent Hawk	Obdulia Hawk	Weber	7/19/1962																
233136	Mr.	Preston	U	Tribble	M	preston.tribble@exxonmobil.com	Jared Tribble	Apolonia Tribble	Meeker	11/4/1979																
170637	Ms.	Aleen	S	Araujo	F	aleen.araujo@gmail.com	Franklyn Araujo	Coleen Araujo	Bettis	5/10/1978																
215719	Mr.	Brent	U	Carrillo	M	brent.carrillo@aol.com	Jasper Carrillo	Dorthea Carrillo	Russo	4/2/1973																
452163	Mr.	Adalberto	Y	Tate	M	adalberto.tate@shaw.ca	Manuel Tate	Mellissa Tate	Morrison	3/31/1982																
572204	Mr.	Rafael	R	Weeks	M	rafael.weeks@gmail.com	Lucien Weeks	Renata Weeks	Dobson	6/7/1992																
779517	Hon.	Aurea	H	Pullen	F	aurea.pullen@gmail.com	Darrick Pullen	Arthur Pullen	Crain	7/22/1973																
844157	Hon.	Ramiro	Q	Holguin	M	ramiro.holguin@gmail.com	Rosendo Holguin	Lieselotte Holguin	Bowens	6/1/1958																
312726	Drs.	Celine	C	Lumpkin	F	celine.lumpkin@gmail.com	Modesto Lumpkin	Markita Lumpkin	Parent	12/31/1986																
419549	Mr.	Bryant	L	Naylor	M	bryant.naylor@hotmail.com	Scott Naylor	Yulanda Naylor	Foltz	7/19/1993																
505927	Hon.	Oswaldo	U	Winchester	M	oswaldo.winchester@gmail.com	Scotty Winchester	Emilee Winchester	Justus	4/8/1959																
526254	Mrs.	Kacy	G	Crandall	F	kacy.crandall@hotmail.com	Zackary Crandall	Glenn Crandall	Lindberg	9/8/1961																
460226	Mr.	Brock	E	Hutcherson	M	brock.hutcherson@hotmail.com	Solomon Hutcherson	Chi Hutcherson	Hurst	3/6/1995																
840113	Mr.	Ramiro	N	Conover	M	ramiro.conover@earthlink.net	Johnie Conover	Evan Conover	Wu	7/26/1992																
432820	Mr.	Myron	N	Marble	M	myron.marble@gmail.com	Barton Marble	Kathryne Marble	Callaway	12/13/1980																
957596	Mr.	Freeman	H	Kern	M	freeman.kern@gmail.com	Landon Kern	Susannah Kern	Allred	7/11/1963																
530134	Mr.	Mathew	O	Whitfield	M	mathew.whitfield@gmail.com	Herbert Whitfield	Tresa Whitfield	Moriarty	10/9/1986																
316372	Mr.	Alexander	C	Goad	M	alexander.goad@cox.net	Enoch Goad	Suzi Goad	Block	5/21/1965																
501658	Ms.	Renee	X	Beverly	F	renee.beverly@rediffmail.com	Fredric Beverly	Tyesha Beverly	Barrows	7/1/1977																
147133	Hon.	Tommie	B	Weller	M	tommie.weller@cox.net	Pat Weller	Zenaida Weller	Martindale	8/9/1959																
551149	Mr.	Michale	Q	Colson	M	michale.colson@comcast.net	Brenton Colson	Chanelle Colson	Parris	11/18/1961																
595558	Ms.	Denisha	Z	Fitch	F	denisha.fitch@msn.com	Cornelius Fitch	Kacy Fitch	Newcomb	10/21/1990																
637407	Mr.	Napoleon	G	Kelsey	M	napoleon.kelsey@hotmail.com	Dominic Kelsey	Marci Kelsey	Wendt	8/7/1995																
597741	Drs.	Tonya	F	Wilson	F	tonya.wilson@aol.com	Louis Wilson	Shella Wilson	Mcadams	4/27/1980																
403534	Hon.	Clement	U	Hidalgo	M	clement.hidalgo@gmail.com	Laurence Hidalgo	Juli Hidalgo	Alvarado	3/9/1960																
314661	Mrs.	Charles	A	Quintero	F	charles.quintero@gmail.com	Alfonso Quintero	Lissa Quintero	Close	3/27/1958																
317987	Drs.	Chastity	U	Pineda	F	chastity.pineda@shaw.ca	Harland Pineda	Deloras Pineda	Dulaney	5/9/1975																
820109	Mrs.	Verna	Q	Michaud	F	verna.michaud@gmail.com	Lester Michaud	Larraine Michaud	Neeley	5/4/1993																
388558	Mr.	Alfred	O	Beamon	M	alfred.beamon@gmail.com	Saul Beamon	Jeanne Beamon	Stoddard	7/7/1963																
403207	Mrs.	Michal	T	Maurer	F	michal.maurer@yahoo.com	Brian Maurer	Shenna Maurer	Galvin	12/8/1976																
143711	Drs.	Wenona	X	Carmichael	F	wenona.carmichael@yahoo.com	Ryan Carmichael	Debbie Carmichael	Yazzie	8/31/1964																
402180	Mr.	Allan	V	Bernhardt	M	allan.bernhardt@gmail.com	Brady Bernhardt	Mimi Bernhardt	Clough	1/24/1962																
242388	Mrs.	Nam	Y	Schmidt	F	nam.schmidt@yahoo.co.uk	Dillon Schmidt	Tiesha Schmidt	Washington	4/8/1993																
819367	Ms.	Yolande	B	Piper	F	yolande.piper@gmail.com	Son Piper	Lynsey Piper	Hemphill	10/9/1966																
962291	Mr.	Whitney	Q	Shipman	M	whitney.shipman@gmail.com	Hershel Shipman	Pura Shipman	Adam	10/26/1982																
856379	Hon.	Terence	B	Ferro	M	terence.ferro@gmail.com	Gregory Ferro	Arleen Ferro	Haro	1/18/1982																
149972	Hon.	Alberto	G	Riley	M	alberto.riley@gmail.com	Matthew Riley	Malena Riley	Munoz	1/13/1974																
174955	Ms.	Jacqueline	J	Burk	F	jacqueline.burk@verizon.net	Gary Burk	Genevie Burk	Mayers	6/28/1989																
549389	Mr.	Clemente	M	Gould	M	clemente.gould@hotmail.com	Arden Gould	Ngoc Gould	Thao	12/31/1961																
466832	Mrs.	Chang	K	Roden	F	chang.roden@yahoo.com	Marco Roden	Bridgette Roden	Stauffer	9/7/1988																
203380	Mr.	Marvin	R	Nickel	M	marvin.nickel@ibm.com	Robbie Nickel	Margaretta Nickel	Cross	11/25/1986																
915991	Mrs.	Eldora	Y	Tribble	F	eldora.tribble@earthlink.net	Trenton Tribble	Maile Tribble	Perales	5/29/1995																
289172	Ms.	Azzie	L	Layman	F	azzie.layman@hotmail.co.uk	Chad Layman	Hermine Layman	Bundy	9/6/1961																
914365	Mr.	Titus	M	Latimer	M	titus.latimer@gmail.com	Quincy Latimer	Maragaret Latimer	Andrus	7/24/1971																
971242	Mrs.	Shantell	R	Long	F	shantell.long@gmail.com	Benedict Long	Robbin Long	Oleary	2/26/1977																
503248	Ms.	Cameron	N	Irvin	F	cameron.irvin@yahoo.com	Isaiah Irvin	Olympia Irvin	Blankenship	10/18/1959																
521540	Mr.	Virgilio	G	Messer	M	virgilio.messer@aol.com	Stanford Messer	Annemarie Messer	Wingfield	3/25/1993																
790395	Ms.	Eboni	S	Lujan	F	eboni.lujan@hotmail.com	Johnathon Lujan	Ute Lujan	Lai	12/15/1993																
734861	Mr.	Ward	H	Gauthier	M	ward.gauthier@hotmail.com	Boris Gauthier	Towanda Gauthier	Hicks	8/22/1968																
592815	Mrs.	Yasuko	A	Gandy	F	yasuko.gandy@gmail.com	Clifford Gandy	Chun Gandy	Lemaster	5/6/1980																
556008	Mr.	Agustin	W	Eden	M	agustin.eden@yahoo.co.in	Herb Eden	Mai Eden	Ahern	6/5/1961																
888597	Mrs.	Sunny	U	Mccreary	F	sunny.mccreary@rediffmail.com	German Mccreary	Joannie Mccreary	Handy	6/21/1978																
946550	Ms.	Janyce	U	Hollenbeck	F	janyce.hollenbeck@gmail.com	Jeffry Hollenbeck	Ollie Hollenbeck	Sonnier	4/30/1966																
438869	Dr.	Bernardo	T	Caron	M	bernardo.caron@cox.net	Hipolito Caron	Sherryl Caron	Combs	11/1/1984																
685600	Hon.	Leon	G	Keeling	M	leon.keeling@gmail.com	Lionel Keeling	Aretha Keeling	Burchfield	10/13/1995																
829901	Dr.	Walker	H	Foley	M	walker.foley@hotmail.com	Agustin Foley	Shawna Foley	Linville	5/14/1960																
354626	Mr.	Rolando	O	Bickford	M	rolando.bickford@gmail.com	Florentino Bickford	Vergie Bickford	Silverman	10/16/1975																
296454	Hon.	Glenn	Q	Pace	M	glenn.pace@gmail.com	Donnell Pace	Eugena Pace	Hagan	6/22/1984																
867400	Drs.	Tandy	J	Binkley	F	tandy.binkley@msn.com	Ken Binkley	Lorrie Binkley	Maxwell	4/29/1963																
354161	Mr.	Irving	W	Toler	M	irving.toler@exxonmobil.com	Jospeh Toler	Blanca Toler	Whited	2/20/1990																
906193	Hon.	Elin	F	Mayes	F	elin.mayes@aol.com	Hassan Mayes	Senaida Mayes	Neill	9/23/1983																
602041	Mr.	William	V	Katz	M	william.katz@shell.com	Terry Katz	Shawanna Katz	Holder	6/17/1976																
514224	Ms.	Silvana	O	Leclair	F	silvana.leclair@gmail.com	Kasey Leclair	Drucilla Leclair	Smithson	10/12/1994																
834046	Dr.	Kirby	E	Hendrick	M	kirby.hendrick@aol.com	Blair Hendrick	Royce Hendrick	Engle	2/8/1958																
538803	Mr.	Rubin	A	Newman	M	rubin.newman@outlook.com	Carmine Newman	John Newman	Weathers	6/10/1977																
487412	Mr.	Lee	P	Roderick	M	lee.roderick@aol.com	Lawerence Roderick	Danille Roderick	Pomeroy	6/25/1963																
286281	Dr.	Jesus	X	Maupin	M	jesus.maupin@gmail.com	Valentine Maupin	Elfriede Maupin	Wiese	5/23/1958																
788924	Mr.	Riley	L	Yocum	M	riley.yocum@earthlink.net	Irwin Yocum	Dorinda Yocum	Fortney	9/12/1964																
416576	Ms.	Nova	O	Bouchard	F	nova.bouchard@gmail.com	Dale Bouchard	Heide Bouchard	Woodworth	5/4/1964																
960215	Mrs.	Shandra	H	Layman	F	shandra.layman@gmail.com	Gilberto Layman	Erminia Layman	Zambrano	3/10/1973																
549513	Ms.	Jacquie	C	Burkett	F	jacquie.burkett@aol.com	Josef Burkett	Mirian Burkett	Fuchs	2/8/1986																
509864	Ms.	Nelle	E	Kenney	F	nelle.kenney@microsoft.com	Walker Kenney	Marvis Kenney	Hammett	2/25/1989																
832966	Mr.	Rich	O	Whitmore	M	rich.whitmore@hotmail.com	Landon Whitmore	Shawanna Whitmore	Westfall	5/30/1991																
306746	Mr.	Antoine	U	Hendrick	M	antoine.hendrick@yahoo.com	Filiberto Hendrick	Keena Hendrick	Oates	10/5/1960																
945031	Mr.	Blaine	K	Judkins	M	blaine.judkins@gmail.com	Douglass Judkins	Emilia Judkins	Shores	5/14/1986																
684637	Prof.	Raymundo	E	Poirier	M	raymundo.poirier@aol.com	Stacy Poirier	Devin Poirier	Plunkett	12/14/1986																
891328	Hon.	Blair	B	Tapia	M	blair.tapia@hotmail.com	Barry Tapia	Larraine Tapia	Pickens	10/30/1969																
383614	Mr.	Charley	Z	Cabrera	M	charley.cabrera@gmail.com	Mitch Cabrera	Nickole Cabrera	Andres	4/21/1984																
180789	Prof.	Heath	Y	Hartley	M	heath.hartley@cox.net	Zachery Hartley	Rafaela Hartley	Nagy	5/27/1975																
356050	Hon.	Zack	P	Singh	M	zack.singh@gmail.com	Billie Singh	Adaline Singh	Bethea	4/12/1987																
185465	Drs.	Zaida	W	Odum	F	zaida.odum@btinternet.com	Dorian Odum	Ozell Odum	Massey	4/19/1967																
687184	Mr.	Porfirio	P	Slone	M	porfirio.slone@hotmail.com	Tim Slone	Corine Slone	Peterson	6/22/1990																
489916	Hon.	Ryan	F	Morrell	M	ryan.morrell@hotmail.com	Gerard Morrell	Ivory Morrell	Spears	10/20/1979																
435833	Hon.	Luther	N	Hannan	M	luther.hannan@yahoo.com	Arron Hannan	Lucy Hannan	Whitmire	7/19/1995																
702411	Mr.	Deon	B	Elizondo	M	deon.elizondo@yahoo.com	Clemente Elizondo	Yajaira Elizondo	Pointer	8/25/1993																
645244	Ms.	Dana	K	Brinson	F	dana.brinson@gmail.com	Enrique Brinson	Maryam Brinson	Spicer	11/13/1989																
755710	Mr.	Manual	W	Dupuis	M	manual.dupuis@yahoo.com	Luke Dupuis	Elli Dupuis	Huynh	1/15/1978																
329638	Mr.	Kenton	P	Franz	M	kenton.franz@gmail.com	Darron Franz	Bev Franz	Rawlings	12/12/1973																
947428	Mr.	Julian	A	Bull	M	julian.bull@gmail.com	Burl Bull	Delora Bull	Bobbitt	5/20/1981																
353117	Mr.	Deon	K	Heath	M	deon.heath@gmail.com	Hilario Heath	Jule Heath	Waterman	8/5/1959																
525537	Hon.	Angela	S	Landers	F	angela.landers@verizon.net	Gregory Landers	Seema Landers	Murphy	12/12/1958																
117598	Mrs.	Heidi	Z	Reiter	F	heidi.reiter@gmail.com	Marco Reiter	Paz Reiter	Hanlon	11/3/1977																
957898	Prof.	Gayle	K	Green	M	gayle.green@gmail.com	Brian Green	Rossana Green	Moen	1/16/1961																
643106	Hon.	Janey	L	Swift	F	janey.swift@yahoo.com	Demarcus Swift	Latina Swift	Cohen	9/4/1979																
691376	Hon.	Emilio	X	Courtney	M	emilio.courtney@hotmail.com	Darren Courtney	Kia Courtney	Burns	3/2/1980																
290435	Hon.	Brinda	R	Lowell	F	brinda.lowell@charter.net	Rafael Lowell	Josefa Lowell	Batchelor	5/16/1980																
428318	Hon.	Alexander	V	Lange	M	alexander.lange@yahoo.com	Raul Lange	Addie Lange	Luna	10/14/1963																
709493	Mr.	Frank	C	Reinhardt	M	frank.reinhardt@earthlink.net	German Reinhardt	Adena Reinhardt	Cooksey	9/20/1979																
837051	Mr.	Monty	P	Pryor	M	monty.pryor@gmail.com	Herbert Pryor	Carlita Pryor	Bratton	10/8/1992																
818907	Ms.	Brinda	U	Fortune	F	brinda.fortune@aol.com	Deandre Fortune	Otelia Fortune	Dodson	12/2/1969																
613084	Mr.	Benny	C	Couture	M	benny.couture@aol.com	Hubert Couture	Codi Couture	Mcfarland	11/27/1962																
400205	Mr.	Monty	R	Vogel	M	monty.vogel@gmail.com	Graham Vogel	Jaqueline Vogel	Gantt	3/31/1992																
363221	Hon.	Lester	R	Coughlin	F	lester.coughlin@gmail.com	Diego Coughlin	Vernetta Coughlin	Francis	9/2/1977																
445473	Drs.	Shellie	I	Herring	F	shellie.herring@aol.com	Abel Herring	Masako Herring	Halsey	7/24/1969																
229262	Ms.	Kerrie	N	Chiu	F	kerrie.chiu@shell.com	Hong Chiu	Sana Chiu	Barrientos	4/16/1971																
952927	Prof.	Gerard	Q	Dickens	M	gerard.dickens@aol.com	Cornelius Dickens	Jin Dickens	Mize	4/24/1977																
723502	Dr.	Parker	Q	Tuck	M	parker.tuck@hotmail.com	Cyrus Tuck	Georgianna Tuck	Becker	2/8/1965																
642626	Mrs.	Riva	F	Hannan	F	riva.hannan@bellsouth.net	Dan Hannan	Vanesa Hannan	Ybarra	8/19/1978																
470485	Dr.	Steve	R	Mercier	M	steve.mercier@exxonmobil.com	Dennis Mercier	Twanda Mercier	Lankford	12/11/1982																
620100	Ms.	Fleta	A	Sutton	F	fleta.sutton@walmart.com	Adam Sutton	Lu Sutton	Ogle	12/1/1958																
771679	Hon.	Chung	C	Corbett	M	chung.corbett@aol.com	Lionel Corbett	Miki Corbett	Lilley	3/9/1976																
904561	Ms.	Frieda	I	Forster	F	frieda.forster@hotmail.co.uk	Byron Forster	Monique Forster	Gunter	3/16/1992																
465279	Mrs.	Sirena	C	Fogle	F	sirena.fogle@aol.com	Harris Fogle	Mora Fogle	Styles	6/25/1992																
293923	Hon.	Alisha	L	Bard	F	alisha.bard@ntlworld.com	Ivan Bard	Loura Bard	Bowens	7/15/1966																
331158	Ms.	Deedee	A	Mercado	F	deedee.mercado@aol.com	Merlin Mercado	Lasonya Mercado	Mosby	5/31/1964																
483286	Ms.	Cecile	F	Driver	F	cecile.driver@gmail.com	Lawrence Driver	Vincenza Driver	Rayburn	8/8/1981																
957621	Mr.	Roosevelt	T	Nava	M	roosevelt.nava@gmail.com	Valentine Nava	Cecilia Nava	Carr	8/22/1975																
464683	Mr.	Floyd	B	Bollinger	M	floyd.bollinger@verizon.net	Cary Bollinger	Ryann Bollinger	Temple	9/1/1976																
431073	Ms.	Lacey	T	Jones	F	lacey.jones@hotmail.com	Pablo Jones	Meridith Jones	Workman	2/3/1991																
346953	Mr.	Larry	L	Dial	M	larry.dial@yahoo.com	Brendan Dial	Ophelia Dial	Webber	10/30/1991																
209718	Mr.	Joel	Y	Holiday	M	joel.holiday@shell.com	Buford Holiday	Tori Holiday	Lindstrom	9/16/1986																
179094	Mrs.	Camilla	Z	Malloy	F	camilla.malloy@aol.com	Neal Malloy	Nanette Malloy	Crittenden	4/17/1971																
209065	Mr.	Tyron	W	Lash	M	tyron.lash@yahoo.com	Oscar Lash	Amie Lash	Woo	12/18/1971																
915973	Dr.	Joey	X	Wren	M	joey.wren@hotmail.com	Tory Wren	Debby Wren	Prater	3/10/1966																
793674	Hon.	Hubert	N	Ferrer	M	hubert.ferrer@yahoo.com	Herb Ferrer	Keila Ferrer	Britt	2/28/1983																
665291	Mr.	Jason	S	Yarbrough	M	jason.yarbrough@aol.com	Alberto Yarbrough	Jenny Yarbrough	Applegate	4/29/1996																
258503	Mr.	Raymond	M	Homan	M	raymond.homan@gmail.com	Lucius Homan	Nida Homan	Beers	7/20/1969																
910235	Mr.	Carmen	T	Cazares	M	carmen.cazares@bellsouth.net	Ross Cazares	Cherise Cazares	Poole	8/28/1960																
605376	Ms.	Daisy	E	Noland	F	daisy.noland@yahoo.com	Brice Noland	Otelia Noland	Venegas	1/15/1962																
291167	Mr.	Archie	E	Caban	M	archie.caban@hotmail.co.uk	Alexander Caban	Kathryn Caban	Holloway	4/1/1986																
864600	Mr.	Bryan	T	Labbe	M	bryan.labbe@gmail.com	Fernando Labbe	Jena Labbe	Priest	10/10/1978																
862997	Drs.	Shae	A	Dowdell	F	shae.dowdell@gmail.com	Samuel Dowdell	Lavern Dowdell	Moseley	6/23/1968																
989496	Mrs.	Bertha	G	Meador	F	bertha.meador@aol.com	Kris Meador	Yoko Meador	Dorris	6/23/1979																
411593	Mr.	Rick	R	Miles	M	rick.miles@gmail.com	Grady Miles	Tayna Miles	Wiggins	6/16/1978																
462737	Dr.	Lon	S	Carmona	M	lon.carmona@yahoo.com	Hiram Carmona	Lura Carmona	Ernst	5/30/1985																
634772	Ms.	Linnie	G	Christiansen	F	linnie.christiansen@ibm.com	Lloyd Christiansen	Carlena Christiansen	Harry	8/18/1978																
864491	Ms.	Terica	J	Finney	F	terica.finney@cox.net	Lyndon Finney	Carie Finney	Earls	4/7/1975																
771200	Mr.	Jae	C	Nowlin	M	jae.nowlin@gmail.com	Angelo Nowlin	Rona Nowlin	Hildreth	11/6/1976																
541253	Mr.	Jame	F	Marchand	M	jame.marchand@aol.com	Jerry Marchand	Bok Marchand	Raymond	8/9/1985																
704999	Drs.	Larisa	M	Baines	F	larisa.baines@gmail.com	Myron Baines	Tonda Baines	Tavares	4/27/1995																
847603	Mrs.	Delsie	U	Rees	F	delsie.rees@msn.com	Bennett Rees	Maire Rees	Roybal	4/8/1987																
462706	Ms.	Janna	V	Spooner	F	janna.spooner@aol.com	Junior Spooner	Prudence Spooner	Dennison	4/28/1971																
988654	Mr.	Harvey	F	Novotny	M	harvey.novotny@hotmail.com	Cody Novotny	Velma Novotny	Dow	5/9/1966																
130373	Mrs.	Muriel	J	Capps	F	muriel.capps@exxonmobil.com	Alan Capps	Michiko Capps	Herron	7/7/1979																
490970	Ms.	Emelina	U	Bright	F	emelina.bright@gmail.com	Florencio Bright	Lindsey Bright	Schreiner	12/28/1975																
885253	Hon.	Nida	F	Christ	F	nida.christ@yahoo.com	Reinaldo Christ	Mabelle Christ	Hansen	3/24/1996																
996402	Ms.	Margareta	H	Knotts	F	margareta.knotts@yahoo.com	Wilmer Knotts	Lissette Knotts	Wren	12/26/1963																
947623	Mrs.	Michelle	T	Watters	F	michelle.watters@gmail.com	Miles Watters	Cristy Watters	Duran	5/10/1985																
184402	Mr.	Ferdinand	D	Kuhn	M	ferdinand.kuhn@gmail.com	Merle Kuhn	Adena Kuhn	Olsen	1/5/1961																
924964	Hon.	Muoi	W	Robertson	F	muoi.robertson@microsoft.com	Leslie Robertson	Laurene Robertson	Nash	12/15/1993																
183909	Mrs.	Yasuko	J	Ledford	F	yasuko.ledford@gmail.com	Emory Ledford	Jenine Ledford	Somers	9/22/1966																
354069	Ms.	Christopher	I	Montez	F	christopher.montez@verizon.net	Bernard Montez	Maranda Montez	Webster	10/11/1984																
